corp_name,year,bond_type,rank,stock_code
AJ네트웍스,2020,SB,BBB+,095570
AJ네트웍스,2021,SB,BBB+,095570
AJ네트웍스,2022,PP,BBB+,095570
AJ네트웍스,2023,PP,BBB+,095570
CJ제일제당,2019,SB,AA,097950
CJ제일제당,2020,SB,AA,097950
CJ제일제당,2021,SB,AA,097950
CJ제일제당,2022,SB,AA,097950
CJ제일제당,2023,SB,AA,097950
E1,2019,SB,A+,017940
E1,2020,SB,A+,017940
E1,2021,SB,A+,017940
E1,2022,SB,A+,017940
E1,2023,SB,A+,017940
GS,2019,SB,AA,078930
GS,2020,SB,AA,078930
GS,2021,SB,AA,078930
GS,2022,SB,AA,078930
GS,2023,SB,AA,078930
LF,2019,SB,AA-,093050
LF,2020,SB,AA-,093050
LF,2021,SB,AA-,093050
LF,2022,SB,AA-,093050
LF,2023,SB,AA-,093050
LG유플러스,2019,SB,AA,032640
LG유플러스,2020,SB,AA,032640
LG유플러스,2021,SB,AA,032640
LG유플러스,2022,SB,AA,032640
LG유플러스,2023,SB,AA,032640
LG전자,2019,SB,AA,066570
LG전자,2020,SB,AA,066570
LG전자,2021,SB,AA,066570
LG전자,2022,SB,AA,066570
LG전자,2023,SB,AA,066570
LG화학,2020,SB,AA+,051910
LG화학,2021,SB,AA+,051910
LG화학,2022,SB,AA+,051910
LG화학,2023,SB,AA+,051910
LS,2019,SB,A+,006260
LS,2020,SB,A+,006260
LS,2021,SB,A+,006260
LS,2022,SB,A+,006260
LS,2023,SB,A+,006260
LX인터내셔널,2020,SB,AA-,001120
LX인터내셔널,2021,SB,AA-,001120
LX인터내셔널,2022,SB,AA-,001120
LX인터내셔널,2023,SB,AA-,001120
OCI,2023,SB,A+,010060
S-OIL,2019,SB,AA+,010950
S-OIL,2020,SB,AA,010950
S-OIL,2021,SB,AA,010950
S-OIL,2022,SB,AA,010950
S-OIL,2023,SB,AA,010950
SBS,2020,SB,AA,034120
SBS,2021,SB,AA,034120
SBS,2022,SB,AA,034120
SBS,2023,SB,AA,034120
SK,2019,SB,AA+,034730
SK,2020,SB,AA+,034730
SK,2021,SB,AA+,034730
SK,2022,SB,AA+,034730
SK,2023,SB,AA+,034730
SKC,2019,SB,A+,011790
SKC,2020,SB,A+,011790
SKC,2021,SB,A+,011790
SKC,2022,SB,A+,011790
SKC,2023,SB,A+,011790
SK가스,2019,SB,AA-,018670
SK가스,2020,SB,AA-,018670
SK가스,2021,SB,AA-,018670
SK가스,2022,SB,AA-,018670
SK가스,2023,SB,AA-,018670
SK네트웍스,2019,SB,AA-,001740
SK네트웍스,2020,SB,AA-,001740
SK네트웍스,2021,SB,AA-,001740
SK네트웍스,2022,SB,AA-,001740
SK네트웍스,2023,SB,AA-,001740
SK이노베이션,2021,SB,AA,096770
SK이노베이션,2022,SB,AA,096770
SK이노베이션,2023,SB,AA,096770
SK텔레콤,2021,SB,AAA,017670
SK텔레콤,2022,SB,AAA,017670
SK텔레콤,2023,HB,AA+,017670
가온전선,2021,SB,A,000500
가온전선,2022,SB,A,000500
가온전선,2023,SB,A,000500
국도화학,2021,SB,A+,007690
국도화학,2022,SB,A+,007690
국도화학,2023,SB,A+,007690
국동,2019,BW1,BB-,005320
국동,2020,BW1,BB-,005320
국동,2021,BW1,BB-,005320
국동,2022,BW1,BB-,005320
국동,2023,BW1,BB-,005320
금호석유화학,2019,SB,A,011780
금호석유화학,2020,SB,A,011780
금호석유화학,2021,SB,A+,011780
금호석유화학,2022,SB,A+,011780
금호석유화학,2023,SB,A+,011780
금호에이치티,2019,BW1,BB+,214330
금호에이치티,2020,BW1,BB+,214330
금호에이치티,2021,BW1,BB,214330
금호에이치티,2022,BW1,BB,214330
금호에이치티,2023,BW1,BB,214330
금호전기,2019,BW1,B,001210
금호전기,2020,BW1,B-,001210
금호전기,2021,BW1,B-,001210
금호전기,2022,BW1,B-,001210
금호전기,2023,BW1,B-,001210
기아,2019,SB,AA,000270
기아,2020,SB,AA,000270
기아,2021,SB,AA,000270
기아,2022,SB,AA,000270
넥센타이어,2019,SB,A+,002350
넥센타이어,2020,SB,A+,002350
넥센타이어,2021,SB,A+,002350
넥센타이어,2022,SB,A,002350
넥센타이어,2023,SB,A,002350
녹십자홀딩스,2021,PP,A+,005250
녹십자홀딩스,2022,PP,A+,005250
녹십자홀딩스,2023,PP,A+,005250
다우기술,2020,SB,A,023590
다우기술,2021,SB,A,023590
다우기술,2022,SB,A,023590
다우기술,2023,SB,A,023590
대상,2019,SB,A+,001680
대상,2020,SB,A+,001680
대상,2021,SB,AA-,001680
대상,2022,SB,AA-,001680
대상,2023,SB,AA-,001680
대상홀딩스,2021,SB,AA-,084690
대상홀딩스,2022,SB,AA-,084690
대상홀딩스,2023,SB,AA-,084690
대한방직,2020,PP,BB,001070
대한방직,2021,PP,BB,001070
대한방직,2022,PP,BB,001070
대한방직,2023,PP,BB,001070
대한제당,2020,SB,A-,001790
대한제당,2021,SB,A-,001790
대한제당,2022,SB,A-,001790
대한제당,2023,SB,A-,001790
대한항공,2021,SB,BBB+,003490
대한항공,2022,SB,BBB+,003490
대한항공,2023,SB,BBB+,003490
더블유게임즈,2021,SB,A,192080
더블유게임즈,2022,SB,A,192080
더블유게임즈,2023,SB,A,192080
동아쏘시오홀딩스,2022,PP,A,000640
동아쏘시오홀딩스,2023,SB,A,000640
동아에스티,2021,SCB,A+,170900
동아에스티,2022,SCB,A+,170900
동아에스티,2023,SCB,A+,170900
동원F&B,2019,SB,A+,049770
동원F&B,2020,SB,A+,049770
동원F&B,2021,SB,A+,049770
동원F&B,2022,SB,A+,049770
동원F&B,2023,SB,A+,049770
동원산업,2019,SB,AA-,006040
동원산업,2020,SB,AA-,006040
동원산업,2021,SB,AA-,006040
동원산업,2022,SB,AA-,006040
동원산업,2023,SB,AA-,006040
동원시스템즈,2019,SB,A,014820
동원시스템즈,2020,SB,A,014820
동원시스템즈,2021,SB,A,014820
동원시스템즈,2022,SB,A,014820
동원시스템즈,2023,SB,A+,014820
두산,2021,SB,BBB,000150
두산,2022,SB,BBB,000150
두산,2023,SB,BBB,000150
롯데렌탈,2019,SB,AA-,089860
롯데렌탈,2020,SB,AA-,089860
롯데렌탈,2021,SB,AA-,089860
롯데렌탈,2022,SB,AA-,089860
롯데렌탈,2023,SB,AA-,089860
롯데쇼핑,2019,SB,AA,023530
롯데쇼핑,2020,SB,AA,023530
롯데쇼핑,2021,SB,AA,023530
롯데쇼핑,2022,SB,AA,023530
롯데쇼핑,2023,SB,AA-,023530
롯데웰푸드,2019,SB,AA,280360
롯데웰푸드,2020,SB,AA,280360
롯데웰푸드,2021,SB,AA,280360
롯데웰푸드,2022,SB,AA,280360
롯데웰푸드,2023,SB,AA,280360
롯데지주,2020,SB,AA,004990
롯데지주,2021,SB,AA,004990
롯데지주,2022,SB,AA,004990
롯데지주,2023,SB,AA-,004990
롯데칠성음료,2019,SB,AA,005300
롯데칠성음료,2020,SB,AA,005300
롯데칠성음료,2021,SB,AA,005300
롯데칠성음료,2022,SB,AA,005300
롯데칠성음료,2023,SB,AA,005300
롯데케미칼,2019,SB,AA+,011170
롯데케미칼,2020,SB,AA+,011170
롯데케미칼,2021,SB,AA+,011170
롯데케미칼,2022,SB,AA+,011170
롯데케미칼,2023,SB,AA,011170
무림페이퍼,2022,PP,A-,009200
무림페이퍼,2023,PP,A-,009200
삼성물산,2020,SB,AA+,028260
삼성물산,2021,SB,AA+,028260
삼성물산,2023,SB,AA+,028260
삼성바이오로직스,2021,SB,A+,207940
삼성바이오로직스,2022,SB,AA-,207940
삼성바이오로직스,2023,SB,AA-,207940
삼양사,2019,SB,AA-,145990
삼양사,2020,SB,AA-,145990
삼양사,2021,SB,AA-,145990
삼양사,2022,SB,AA-,145990
삼양사,2023,SB,AA-,145990
삼양홀딩스,2019,SB,AA-,000070
삼양홀딩스,2020,SB,AA-,000070
삼양홀딩스,2021,SB,AA-,000070
삼양홀딩스,2022,SB,AA-,000070
삼양홀딩스,2023,SB,AA-,000070
삼천리,2020,SB,AA+,004690
삼천리,2021,SB,AA+,004690
삼천리,2022,SB,AA+,004690
삼천리,2023,SB,AA+,004690
서흥,2021,SB,A-,008490
서흥,2022,SB,A-,008490
서흥,2023,SB,A-,008490
세아베스틸지주,2022,SB,A+,001430
세아베스틸지주,2023,SB,A+,001430
신세계,2019,SB,AA,004170
신세계,2020,SB,AA,004170
신세계,2021,SB,AA,004170
신세계,2022,SB,AA,004170
신세계푸드,2023,SB,A+,031440
쌍용씨앤이,2019,SB,A-,003410
쌍용씨앤이,2020,SB,A-,003410
쌍용씨앤이,2021,SB,A,003410
쌍용씨앤이,2022,SB,A,003410
쌍용씨앤이,2023,SB,A,003410
엔씨소프트,2019,SB,AA-,036570
엔씨소프트,2020,SB,AA,036570
엔씨소프트,2021,SB,AA,036570
엔씨소프트,2022,SB,AA,036570
엔씨소프트,2023,SB,AA,036570
율촌화학,2019,SB,A+,008730
율촌화학,2020,SB,A+,008730
율촌화학,2021,SB,A+,008730
율촌화학,2022,SB,A+,008730
율촌화학,2023,SB,A+,008730
이마트,2021,SB,AA,139480
이마트,2022,SB,AA,139480
이마트,2023,SB,AA,139480
케이씨씨,2020,SB,AA,002380
케이씨씨,2021,SB,AA-,002380
케이씨씨,2023,SB,AA-,002380
케이티,2019,SB,AAA,030200
케이티,2020,SB,AAA,030200
케이티,2021,SB,AAA,030200
케이티,2022,SB,AAA,030200
케이티,2023,SB,AAA,030200
케이티스카이라이프,2021,SB,AA-,053210
케이티스카이라이프,2022,SB,AA-,053210
케이티스카이라이프,2023,SB,AA-,053210
코스맥스,2022,PP,BBB+,192820
코스맥스,2023,PP,BBB+,192820
코웨이,2021,SB,AA-,021240
코웨이,2022,SB,AA-,021240
코웨이,2023,SB,AA-,021240
콘텐트리중앙,2022,SB,BBB,036420
태양금속공업,2020,PP,BB-,004100
태양금속공업,2021,PP,B+,004100
태양금속공업,2022,PP,B+,004100
태양금속공업,2023,PP,B+,004100
태영건설,2021,SB,A,009410
태영건설,2022,SB,A,009410
